  0.7500    0.156209997439563D+03    0.512000000000000D-03    0.800000000000000D-01    0.674392147631404D-10   -0.114730617500754D-15
  0.7500    0.139688633038946D+03    0.605426120329700D-03    0.845967576367142D-01    0.117681972835759D-09   -0.265434800031501D-15
  0.7500    0.125654867065388D+03    0.709577509348269D-03    0.891935152734283D-01    0.199360169198248D-09   -0.587426551375432D-15
  0.7500    0.113633187962247D+03    0.825036948974642D-03    0.937902729101425D-01    0.328844742634337D-09   -0.124910768862263D-14
  0.7500    0.103256502723502D+03    0.952387221127757D-03    0.983870305468566D-01    0.529511016115253D-09   -0.256184056089357D-14
  0.7500    0.942377712108121D+02    0.109221110772655D-02    0.102983788183571D+00    0.834154718090511D-09   -0.508438324113941D-14
  0.7500    0.863499357481794D+02    0.124509139068996D-02    0.107580545820285D+00    0.128806136037076D-08   -0.979262160848373D-14
  0.7500    0.794114850963061D+02    0.141161085193692D-02    0.112177303456999D+00    0.195286165881914D-08   -0.183492636610042D-13
  0.7500    0.732759150142393D+02    0.159235227338638D-02    0.116774061093713D+00    0.291132452338120D-08   -0.335236082476971D-13
  0.7500    0.678239281452467D+02    0.178789843695726D-02    0.121370818730427D+00    0.427325962436579D-08   -0.598326267269784D-13
  0.7500    0.629575887465072D+02    0.199883212456850D-02    0.125967576367142D+00    0.618272373186649D-08   -0.104503079531672D-12
  0.7500    0.585958917630974D+02    0.222573611813904D-02    0.130564334003856D+00    0.882674899761835D-08   -0.178892288061204D-12
  0.7500    0.546713682397949D+02    0.246919319958782D-02    0.135161091640570D+00    0.124458371804404D-07   -0.300554993538818D-12
  0.7500    0.511274590373178D+02    0.272978615083377D-02    0.139757849277284D+00    0.173464915892080D-07   -0.496208460832622D-12
  0.7500    0.479164643593549D+02    0.300809775379584D-02    0.144354606913998D+00    0.239160883182695D-07   -0.805931202575883D-12
  0.7500    0.449979292016543D+02    0.330471079039295D-02    0.148951364550712D+00    0.326404202721713D-07   -0.128903662933462D-11
  0.7500    0.423373619379246D+02    0.362020804254405D-02    0.153548122187427D+00    0.441242816191176D-07   -0.203219651964665D-11
  0.7500    0.399052097399024D+02    0.395517229216807D-02    0.158144879824141D+00    0.591154967833207D-07   -0.316055619540645D-11
  0.7500    0.376760336416316D+02    0.431018632118395D-02    0.162741637460855D+00    0.785328369998585D-07   -0.485279031151500D-11
  0.7500    0.356278399956617D+02    0.468583291151063D-02    0.167338395097569D+00    0.103498308936938D-06   -0.736130281641559D-11
  0.7500    0.337415353321078D+02    0.508269484506703D-02    0.171935152734283D+00    0.135374344072189D-06   -0.110390855512284D-10
  0.7500    0.320004792584777D+02    0.550135490377211D-02    0.176531910370997D+00    0.175806464538748D-06   -0.163751268972788D-10
  0.7500    0.303901157550435D+02    0.594239586954479D-02    0.181128668007712D+00    0.226772051200958D-06   -0.240407158305812D-10
  0.7500    0.288976675406433D+02    0.640640052430402D-02    0.185725425644426D+00    0.290635892801562D-06   -0.349495299594150D-10
  0.7500    0.275118814735496D+02    0.689395164996873D-02    0.190322183281140D+00    0.370213251997692D-06   -0.503350422288499D-10
  0.7500    0.262228154754548D+02    0.740563202845785D-02    0.194918940917854D+00    0.468841243364459D-06   -0.718495450247756D-10
  0.7500    0.250216594155799D+02    0.794202444169033D-02    0.199515698554568D+00    0.590459383371120D-06   -0.101689988943418D-09
  0.7500    0.239005839070607D+02    0.850371167158510D-02    0.204112456191282D+00    0.739700239353805D-06   -0.142756884603880D-09
  0.7500    0.228526121530064D+02    0.909127650006110D-02    0.208709213827997D+00    0.921991177046629D-06   -0.198853739265943D-09
  0.7500    0.218715109122837D+02    0.970530170903726D-02    0.213305971464711D+00    0.114366828273893D-05   -0.274935917008359D-09
  0.7500    0.209516973931313D+02    0.103463700804325D-01    0.217902729101425D+00    0.141210361759079D-05   -0.377419444838482D-09
  0.7500    0.200881594699063D+02    0.110150643961658D-01    0.222499486738139D+00    0.173584704821200D-05   -0.514562162048538D-09
  0.7500    0.192763870878429D+02    0.117119674381561D-01    0.227096244374853D+00    0.212478398967494D-05   -0.696931752835301D-09
  0.7500    0.185123130980702D+02    0.124376619883223D-01    0.231693002011567D+00    0.259031049505627D-05   -0.937977640788647D-09
  0.7500    0.177922620698220D+02    0.131927308285833D-01    0.236289759648281D+00    0.314552722980027D-05   -0.125472648817346D-08
  0.7500    0.171129058738915D+02    0.139777567408582D-01    0.240886517284996D+00    0.380545398013009D-05   -0.166862416449509D-08
  0.7500    0.164712250326686D+02    0.147933225070657D-01    0.245483274921710D+00    0.458735153714316D-05   -0.220655306733571D-08
  0.7500    0.158644749967360D+02    0.156400109091249D-01    0.250080032558424D+00    0.551055733012729D-05   -0.290203756344499D-08
  0.7500    0.152901566431997D+02    0.165184047289547D-01    0.254676790195138D+00    0.659762339599170D-05   -0.379672489915173D-08
  0.7500    0.147459904023734D+02    0.174290867484741D-01    0.259273547831852D+00    0.787378125688708D-05   -0.494209346188117D-08
  0.7500    0.142298935116401D+02    0.183726397496019D-01    0.263870305468566D+00    0.936771362880421D-05   -0.640152116671896D-08
  0.7500    0.137399599718728D+02    0.193496465142571D-01    0.268467063105281D+00    0.111118488894243D-04   -0.825271239124877D-08
  0.7500    0.132744428455736D+02    0.203606898243587D-01    0.273063820741995D+00    0.131432623360200D-04   -0.105905906060912D-07
  0.7500    0.128317385891998D+02    0.214063524618255D-01    0.277660578378709D+00    0.155017010702336D-04   -0.135304958299051D-07
  0.7500    0.124103731568488D+02    0.224872172085766D-01    0.282257336015423D+00    0.182349383780156D-04   -0.172124299617275D-07
  0.7500    0.120089896500672D+02    0.236038668465308D-01    0.286854093652137D+00    0.213944561760060D-04   -0.218053149557593D-07
  0.7500    0.116263373202658D+02    0.247568841576071D-01    0.291450851288851D+00    0.250384636833985D-04   -0.275124717948461D-07
  0.7500    0.112612617570487D+02    0.259468519237245D-01    0.296047608925566D+00    0.292320535006022D-04   -0.345777524787524D-07
  0.7500    0.109126961185271D+02    0.271743529268018D-01    0.300644366562280D+00    0.340478992994150D-04   -0.432926593708219D-07
  0.7500    0.105796532790433D+02    0.284399699487580D-01    0.305241124198994D+00    0.396109966270353D-04   -0.541222936671295D-07
  0.7500    0.102612187862406D+02    0.297442857715121D-01    0.309837881835708D+00    0.458795776743640D-04   -0.671260498192617D-07
  0.7500    0.995654453352525D+01    0.310878831769829D-01    0.314434639472422D+00    0.530858232788653D-04   -0.831458645681853D-07
  0.7500    0.966484306606283D+01    0.324713449470894D-01    0.319031397109136D+00    0.612970146547842D-04   -0.102641096524061D-06
  0.7500    0.938538244883880D+01    0.338952538637506D-01    0.323628154745851D+00    0.706364932133824D-04   -0.126291310754536D-06
  0.7500    0.911748163425688D+01    0.353601927088854D-01    0.328224912382565D+00    0.812408170955219D-04   -0.154894514679665D-06
  0.7500    0.886050627446791D+01    0.368667442644127D-01    0.332821670019279D+00    0.932609935918915D-04   -0.189385282540143D-06
  0.7500    0.861386493029378D+01    0.384154913122515D-01    0.337418427655993D+00    0.106863812847448D-03   -0.230855261487684D-06
  0.7500    0.837700563439494D+01    0.400070166343207D-01    0.342015185292707D+00    0.122233290614991D-03   -0.280576318270381D-06
  0.7500    0.814941277134985D+01    0.416419030125392D-01    0.346611942929421D+00    0.139572228463329D-03   -0.340026607010851D-06
  0.7500    0.793060424168402D+01    0.433207332288259D-01    0.351208700566136D+00    0.159103900550988D-03   -0.410919861112722D-06
